"SEX CRIMES","2020-01-07 17:00:00","14-018939","SUPV/ETC PROSTITUTION","19X","1700 EMBARCADERO","Oakland","CA""1700 EMBARCADERO, Oakland, CA", 37.7836298, -122.24314820000001
"SEX CRIMES","2018-05-04 00:08:00","18-022257","LOITER:INTENT:PROSTITUTION","23X","3300 INTERNATIONAL BLVD","Oakland","CA""3300 INTERNATIONAL BLVD, Oakland, CA", 37.77727489999999, -122.2243949
"SEX CRIMES","2018-04-30 20:30:00","18-021679","LOITER:INTENT:PROSTITUTION","19X","1400 17TH AV","Oakland","CA""1400 17TH AV, Oakland, CA", 37.7877245, -122.243153
"SEX CRIMES","2018-04-11 11:12:00","18-018167","LOITER:INTENT:PROSTITUTION","07X","2300 WEST ST","Oakland","CA""2300 WEST ST, Oakland, CA", 37.8137388, -122.27565730000003
"SEX CRIMES","2018-04-13 00:17:00","18-018451","LOITER:INTENT:PROSTITUTION","20X","3100 INTERNATIONAL BLVD","Oakland","CA""3100 INTERNATIONAL BLVD, Oakland, CA", 37.7779529, -122.22637270000001
"SEX CRIMES","2018-04-13 23:59:00","18-018452","LOITER:INTENT:PROSTITUTION","20X","3000 INTERNATIONAL BLVD","Oakland","CA""3000 INTERNATIONAL BLVD, Oakland, CA", 37.7789864, -122.22800740000002
"SEX CRIMES","2018-04-12 23:44:00","18-018456","LOITER:INTENT:PROSTITUTION","23X","3200 INTERNATIONAL BLVD","Oakland","CA""3200 INTERNATIONAL BLVD, Oakland, CA", 37.77773820000001, -122.22557899999998
"SEX CRIMES","2018-04-13 02:24:00","18-018464","LOITER:INTENT:PROSTITUTION","23X","3700 INTERNATIONAL BLVD","Oakland","CA""3700 INTERNATIONAL BLVD, Oakland, CA", 37.7752978, -122.2205826
"SEX CRIMES","2018-04-13 04:55:00","18-018475","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO","Oakland","CA""1800 EMBARCADERO, Oakland, CA", 37.7836298, -122.24314820000001
"SEX CRIMES","2018-04-13 05:06:00","18-018476","DISORDERLY CONDUCT:PROSTITUTION","19X","2000 LIVINGSTON ST","Oakland","CA""2000 LIVINGSTON ST, Oakland, CA", 37.7807336, -122.24201149999999
"SEX CRIMES","2018-04-13 05:16:00","18-018477","DISORDERLY CONDUCT:PROSTITUTION","19X","1400 20TH AV","Oakland","CA""1400 20TH AV, Oakland, CA", 37.7858369, -122.23998519999998
"SEX CRIMES","2018-04-13 05:16:00","18-018478","DISORDERLY CONDUCT:PROSTITUTION","19X","E 12TH ST & 18TH AV","Oakland","CA""E 12TH ST  18TH AV, Oakland, CA", 37.7979493, -122.2572376
"SEX CRIMES","2018-04-13 05:28:00","18-018479","DISORDERLY CONDUCT:PROSTITUTION","20X","1400 31ST AV","Oakland","CA""1400 31ST AV, Oakland, CA", 37.7780037, -122.22662379999997
"SEX CRIMES","2018-04-13 05:42:00","18-018482","DISORDERLY CONDUCT:PROSTITUTION","19X","1500 17TH AV","Oakland","CA""1500 17TH AV, Oakland, CA", 37.7885614, -122.24230950000003
"SEX CRIMES","2018-04-13 06:09:00","18-018486","DISORDERLY CONDUCT:PROSTITUTION","19X","1600 INTERNATIONAL BLVD","Oakland","CA""1600 INTERNATIONAL BLVD, Oakland, CA", 37.7883618, -122.2439824
"SEX CRIMES","2018-04-13 06:23:00","18-018489","DISORDERLY CONDUCT:PROSTITUTION","20X","2400 E 12TH ST","Oakland","CA""2400 E 12TH ST, Oakland, CA", 37.7819375, -122.2351878
"SEX CRIMES","2018-04-10 01:28:00","18-017844","LOITER:INTENT:PROSTITUTION","19X","1900 INTERNATIONAL BLVD","Oakland","CA""1900 INTERNATIONAL BLVD, Oakland, CA", 37.7865518, -122.2407829
"SEX CRIMES","2018-04-12 15:45:00","18-018121","DISORDERLY CONDUCT:PROSTITUTION","03X","300 10TH ST","Oakland","CA""300 10TH ST, Oakland, CA", 37.8001668, -122.26935950000001
"SEX CRIMES","2018-04-13 06:30:00","18-018491","DISORDERLY CONDUCT:PROSTITUTION","19X","1400 20TH AV","Oakland","CA""1400 20TH AV, Oakland, CA", 37.7858369, -122.23998519999998
"SEX CRIMES","2018-04-13 06:57:00","18-018494","DISORDERLY CONDUCT:PROSTITUTION","19X","E 10TH ST & 7TH AV","Oakland","CA""E 10TH ST  7TH AV, Oakland, CA", 37.794978, -122.25140099999999
"SEX CRIMES","2018-02-13 05:00:00","18-007843","LOITER:INTENT:PROSTITUTION","19X","1400 20TH AV","Oakland","CA""1400 20TH AV, Oakland, CA", 37.7858369, -122.23998519999998
"SEX CRIMES","2018-02-13 16:26:00","18-007947","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO COVE","Oakland","CA""1800 EMBARCADERO COVE, Oakland, CA", 37.7836298, -122.24314820000001
"SEX CRIMES","2018-03-20 21:00:00","18-014298","LOITER:INTENT:PROSTITUTION","19X","1900 INTERNATIONAL BLVD","Oakland","CA""1900 INTERNATIONAL BLVD, Oakland, CA", 37.7865518, -122.2407829
"SEX CRIMES","2018-02-13 20:28:00","18-007986","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO","Oakland","CA""1800 EMBARCADERO, Oakland, CA", 37.7836298, -122.24314820000001
"SEX CRIMES","2018-02-13 20:46:00","18-007988","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO","Oakland","CA""1800 EMBARCADERO, Oakland, CA", 37.7836298, -122.24314820000001
"SEX CRIMES","2018-02-13 15:00:00","18-007989","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO","Oakland","CA""1800 EMBARCADERO, Oakland, CA", 37.7836298, -122.24314820000001
"SEX CRIMES","2018-02-13 18:21:00","18-007971","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO COVE","Oakland","CA""1800 EMBARCADERO COVE, Oakland, CA", 37.7836298, -122.24314820000001
"SEX CRIMES","2018-02-13 19:41:00","18-007973","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO","Oakland","CA""1800 EMBARCADERO, Oakland, CA", 37.7836298, -122.24314820000001
"SEX CRIMES","2018-02-13 17:09:00","18-007955","DISORDERLY CONDUCT:PROSTITUTION","77X","1800 EMBARACADERO","Oakland","CA""1800 EMBARACADERO, Oakland, CA", 37.7836298, -122.24314820000001
"SEX CRIMES","2018-02-13 19:58:00","18-007978","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO","Oakland","CA""1800 EMBARCADERO, Oakland, CA", 37.7836298, -122.24314820000001
"SEX CRIMES","2018-03-09 05:00:00","18-012252","DISORDERLY CONDUCT:PROSTITUTION","77X","2600 E 14TH ST","Oakland","CA""2600 E 14TH ST, Oakland, CA", 37.7816049, -122.23225639999998
"SEX CRIMES","2018-03-09 05:50:00","18-012253","DISORDERLY CONDUCT:PROSTITUTION","19X","1700 INTERNATIONAL BLVD","Oakland","CA""1700 INTERNATIONAL BLVD, Oakland, CA", 37.787847, -122.24274430000003
