incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
483405468,14011530,07/02/2014 05:05:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,1 Block AV & INTERNATIONAL BLVD,,OAKLAND,CA,null,null,37.7821527957837,-122.233801663726,07/03/2014 09:07:34 PM,08/27/2014 09:18:15 PM,POINT (-122.233802 37.782153),17,Wednesday,Other Sexual Offense
483405469,14011526,07/02/2014 04:59:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1300 Block 25TH AV,,OAKLAND,CA,null,null,37.7821527957837,-122.233801663726,07/03/2014 09:07:34 PM,08/25/2014 09:41:32 PM,POINT (-122.233802 37.782153),16,Wednesday,Other Sexual Offense
483405472,14011518,07/02/2014 04:17:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,2200 Block E 15TH ST,,OAKLAND,CA,null,null,37.7846947031952,-122.236525979187,07/03/2014 09:07:34 PM,08/27/2014 09:18:15 PM,POINT (-122.236526 37.784695),16,Wednesday,Other Sexual Offense
483405473,14011523,07/02/2014 04:15:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,E 15TH ST & 19TH AV,,OAKLAND,CA,null,null,37.7873046280122,-122.240221191141,07/03/2014 09:07:34 PM,08/27/2014 09:18:15 PM,POINT (-122.240221 37.787305),16,Wednesday,Other Sexual Offense
483405474,14011522,07/02/2014 04:14:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,E 15TH ST & 19TH AV,,OAKLAND,CA,null,null,37.7873046280122,-122.240221191141,07/03/2014 09:07:34 PM,08/27/2014 09:18:15 PM,POINT (-122.240221 37.787305),16,Wednesday,Other Sexual Offense
483405476,14011519,07/02/2014 03:50:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,2200 Block E 15TH ST,,OAKLAND,CA,null,null,37.7846947031952,-122.236525979187,07/03/2014 09:07:34 PM,08/27/2014 09:18:15 PM,POINT (-122.236526 37.784695),15,Wednesday,Other Sexual Offense
490161231,14012068,07/09/2014 07:33:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1900 Block E 17TH ST,,OAKLAND,CA,null,null,37.7889812356183,-122.238287594121,07/10/2014 09:07:43 PM,08/25/2014 09:40:58 PM,POINT (-122.238288 37.788981),19,Wednesday,Other Sexual Offense
490161233,14012061,07/09/2014 05:25:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,1700 Block FOOTHILL BLVD,,OAKLAND,CA,94606,null,37.7894005497542,-122.241516348398,07/10/2014 09:07:43 PM,08/19/2014 09:30:29 PM,POINT (-122.241516 37.789401),17,Wednesday,Other Sexual Offense
490161235,14012059,07/09/2014 05:09:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1800 Block E 19TH ST,,OAKLAND,CA,null,null,37.7899117675319,-122.238517051108,07/10/2014 09:07:43 PM,08/25/2014 09:41:00 PM,POINT (-122.238517 37.789912),17,Wednesday,Other Sexual Offense
491123547,14010653,06/19/2014 08:55:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,1 Block AV & INTERNATIONAL BLVD,,OAKLAND,CA,null,null,37.7864691221309,-122.240997662911,07/11/2014 09:08:07 PM,08/05/2014 09:17:44 PM,POINT (-122.240998 37.786469),20,Thursday,Other Sexual Offense
492005898,14008784,05/21/2014 07:09:00 AM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,17200 Block FOOTHILL BLVD SL,,ALAMEDA_COUNTY,CA,null,null,37.692899175932,-122.100573935749,07/12/2014 09:08:13 PM,08/25/2014 09:40:06 PM,POINT (-122.100574 37.692899),7,Wednesday,Other Sexual Offense
497956956,14012543,07/16/2014 08:25:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,1800 Block EMBARCADERO,,OAKLAND,CA,null,null,37.7845366458025,-122.243513499454,07/18/2014 09:07:43 PM,08/31/2014 09:18:45 PM,POINT (-122.243513 37.784537),20,Wednesday,Other Sexual Offense
497956958,14012533,07/16/2014 06:30:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1800 Block EMBARCADERO,,OAKLAND,CA,null,null,37.7845091871991,-122.24351285481,07/18/2014 09:07:43 PM,08/19/2014 09:30:25 PM,POINT (-122.243513 37.784509),18,Wednesday,Other Sexual Offense
497956960,14012529,07/16/2014 04:41:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,1800 Block EMBARCADERO,,OAKLAND,CA,null,null,37.7845091871991,-122.24351285481,07/18/2014 09:07:43 PM,08/27/2014 09:18:08 PM,POINT (-122.243513 37.784509),16,Wednesday,Other Sexual Offense
498877039,14012508,07/16/2014 11:00:00 AM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,17200 Block FOOTHILL BLVD,,SAN_LEANDRO,CA,null,null,37.69273347791,-122.10063950179,07/19/2014 09:07:50 PM,08/27/2014 09:18:09 PM,POINT (-122.10064 37.692733),11,Wednesday,Other Sexual Offense
504802826,14013060,07/24/2014 07:30:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,INTERNATIONAL BLVD & MILLER AV,,OAKLAND,CA,null,null,37.7827695863732,-122.234819727481,07/25/2014 09:07:55 PM,08/25/2014 09:39:45 PM,POINT (-122.23482 37.78277),19,Thursday,Other Sexual Offense
504802828,14013056,07/24/2014 06:20:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1 Block AV & FOOTHILL BLVD,,OAKLAND,CA,null,null,37.7900167615875,-122.242569176124,07/25/2014 09:07:55 PM,08/18/2014 09:13:20 PM,POINT (-122.242569 37.790017),18,Thursday,Other Sexual Offense
504802829,14013052,07/24/2014 06:10:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1700 Block E 12TH ST,,OAKLAND,CA,null,null,37.7868482838387,-122.243221660527,07/25/2014 09:07:55 PM,08/13/2014 09:20:57 PM,POINT (-122.243222 37.786848),18,Thursday,Other Sexual Offense
504802831,14013049,07/24/2014 05:10:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1800 Block 11TH AV,,OAKLAND,CA,null,null,37.794270109961,-122.24471124883,07/25/2014 09:07:55 PM,08/18/2014 09:13:21 PM,POINT (-122.244711 37.79427),17,Thursday,Other Sexual Offense
505694671,14013058,07/24/2014 07:23:00 PM,LOITER:INTENT:PROSTITUTION [999],LOITER:INTENT:PROSTITUTION,,1700 Block 27TH AV,,OAKLAND,CA,null,null,37.7832759780499,-122.228394220092,07/26/2014 09:07:49 PM,08/13/2014 09:20:55 PM,POINT (-122.228394 37.783276),19,Thursday,Other Sexual Offense
508410973,14012112,07/10/2014 01:59:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,17100 Block FOOTHILL BLVD,,SAN_LEANDRO,CA,null,null,37.6933570660911,-122.101240557798,07/29/2014 09:08:18 PM,09/16/2014 09:24:21 PM,POINT (-122.101241 37.693357),13,Thursday,Other Sexual Offense
511664330,14013528,07/31/2014 05:21:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1 Block AV & INTERNATIONAL BLVD,,OAKLAND,CA,null,null,37.7834128079986,-122.235907644986,08/01/2014 09:07:53 PM,08/25/2014 09:39:54 PM,POINT (-122.235908 37.783413),17,Thursday,Other Sexual Offense
512568584,14013611,08/01/2014 08:45:00 PM,LOITER:INTENT:PROSTITUTION [40A],LOITER:INTENT:PROSTITUTION,,1900 Block INTERNATIONAL BLVD,,OAKLAND,CA,94606,null,37.786344087303,-122.240164071798,08/02/2014 09:07:55 PM,08/26/2014 09:14:34 PM,POINT (-122.240164 37.786344),20,Friday,Other Sexual Offense
512568601,14013539,07/31/2014 07:24:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,2000 Block INTERNATIONAL BLVD,,OAKLAND,CA,null,null,37.7858254372549,-122.239944255177,08/02/2014 09:07:55 PM,08/25/2014 09:39:50 PM,POINT (-122.239944 37.785825),19,Thursday,Other Sexual Offense
512568602,14013529,07/31/2014 05:37:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1 Block AV & INTERNATIONAL BLVD,,OAKLAND,CA,null,null,37.7814017535946,-122.232572833988,08/02/2014 09:07:55 PM,08/25/2014 09:39:54 PM,POINT (-122.232573 37.781402),17,Thursday,Other Sexual Offense
517636156,14013921,08/06/2014 06:06:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,2200 Block E 15TH ST,,OAKLAND,CA,94606,null,37.7848294484169,-122.236702180392,08/07/2014 09:08:01 PM,08/26/2014 09:14:18 PM,POINT (-122.236702 37.784829),18,Wednesday,Other Sexual Offense
517636157,14013924,08/06/2014 05:50:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,1500 Block 35TH AV,,OAKLAND,CA,null,null,37.7777181850222,-122.221516577317,08/07/2014 09:08:01 PM,10/29/2014 10:09:55 PM,POINT (-122.221517 37.777718),17,Wednesday,Other Sexual Offense
517636159,14013917,08/06/2014 05:02:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,INTERNATIONAL BLVD & MILLER AV,,OAKLAND,CA,null,null,37.7827695863732,-122.234819727481,08/07/2014 09:08:01 PM,09/02/2014 09:59:45 PM,POINT (-122.23482 37.78277),17,Wednesday,Other Sexual Offense
521379019,14014060,08/08/2014 08:00:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,CHERRY WAY & MISSION BLVD,,HAYWARD,CA,94541,null,37.6830256035873,-122.097458243756,08/11/2014 09:08:03 PM,10/01/2014 09:13:50 PM,POINT (-122.097458 37.683026),20,Friday,Other Sexual Offense
521379020,14014034,08/08/2014 03:30:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,CHERRY WAY & MISSION BLVD,,HAYWARD,CA,94541,null,37.6830256035873,-122.097458243756,08/11/2014 09:08:03 PM,09/23/2014 09:18:21 PM,POINT (-122.097458 37.683026),15,Friday,Other Sexual Offense
521379021,14014063,08/08/2014 02:11:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,MISSION BLVD & ST JAMES CT,,HAYWARD,CA,94541,null,37.6835412453427,-122.097918626487,08/11/2014 09:08:03 PM,09/23/2014 09:18:23 PM,POINT (-122.097919 37.683541),14,Friday,Other Sexual Offense
522621255,14014032,08/08/2014 02:11:00 PM,DISORDERLY CONDUCT:PROSTITUTION [40A],DISORDERLY CONDUCT:PROSTITUTION,,CHERRY WAY & MONTGOMERY AV,,HAYWARD,CA,94541,null,37.6823827741303,-122.09827391201,08/12/2014 09:07:59 PM,09/29/2014 09:20:34 PM,POINT (-122.098274 37.682383),14,Friday,Other Sexual Offense
