"CrimeType","DateTime","CaseNumber","Description","PoliceBeat","Address","City","State"
"MOTOR VEHICLE THEFT","2104-08-08 00:00:00","14-040258","VEHICLE THEFT - AUTO","02X","12TH ST & MANDELA PKWY","Oakland","CA"
"ROBBERY","2030-01-11 19:00:00","14-023460","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","23X","3600 BLK OF INTERNATIONAL BL","Oakland","CA"
"VANDALISM","2040-02-01 21:40:00","14-035766","VANDALISM [UNDER $1,000] (AMENDED)","09X","600 FAIRMOUNT AV","Oakland","CA"
"THEFT/LARCENY","2050-01-03 13:55:00","14-038177","BURGLARY-AUTO","08X","TELEGRAPH AV & W MACARTHUR BLVD","Oakland","CA"
"BURGLARY","2034-01-01 10:00:00","14-047941","BURGLARY-FORCIBLE ENTRY","31Z","11100 ACALANES DR","Oakland","CA"
"ASSAULT","2019-01-07 18:27:00","14-054853","SC BATTERY","34X","1400 89TH AV","Oakland","CA"
"VANDALISM","2030-01-08 18:30:00","14-027546","VANDALISM","30X","2500 HAVENSCOURT BLVD","Oakland","CA"
"VANDALISM","2040-01-01 00:00:00","14-031456","VANDALISM [UNDER $1,000] (AMENDED)","20X","2600 E 12TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2914-07-02 19:00:00","14-033621","VEHICLE THEFT - AUTO","31Y","300 HUNTER AVE","Oakland","CA"
"SEX CRIMES","2020-01-07 17:00:00","14-018939","SUPV/ETC PROSTITUTION","19X","1700 EMBARCADERO","Oakland","CA"
"THEFT/LARCENY","2019-04-14 11:00:00","14-019401","BURGLARY-AUTO","12X","300 ORANGE ST","Oakland","CA"
"ASSAULT","2018-03-25 18:41:00","18-015135","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","03Y","900 CLAY ST","Oakland","CA"
"THEFT/LARCENY","2018-02-21 05:00:00","18-903601","BURGLARY-AUTO","08X","500 24TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-30 22:00:00","18-016307","GRAND THEFT","30Y","7600 BANCROFT AV","Oakland","CA"
"ASSAULT","2018-03-30 18:22:00","18-016161","THREAT CRIME:INT:TERRORIZE","19X","700 E 11TH ST","Oakland","CA"
"ASSAULT","2018-03-30 23:35:00","18-016163","BATTERY","24X","3500 GRAY ST","Oakland","CA"
"ASSAULT","2018-03-31 23:56:00","18-016164","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","12Y","5100 SHAFTER AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 09:15:00","18-016167","VEHICLE THEFT - AUTO","04X","600 WILLIAM ST","Oakland","CA"
"ASSAULT","2018-03-31 00:30:00","18-016169","SHOOT AT INHABITED DWELLING/VEHICLE/ETC","32X","1800 102ND AV","Oakland","CA"
"ASSAULT","2018-03-31 02:26:00","18-016178","BATTERY W/SERIOUS BODILY INJURY","14X","600 GRAND AV","Oakland","CA"
"ASSAULT","2018-03-31 02:45:00","18-016179","ASSAULT WITH FIREARM ON PERSON","21Y","2200 COOLIDGE AV","Oakland","CA"
"ROBBERY","2018-03-31 02:50:00","18-016180","ROBBERY-FIREARM","22Y","3500 35TH AV","Oakland","CA"
"ASSAULT","2018-03-31 02:57:00","18-016181","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","23X","1600 35TH AV","Oakland","CA"
"ASSAULT","2018-03-31 03:47:00","18-016184","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","24X","3800 SANTA RITA ST","Oakland","CA"
"DISTURBING THE PEACE","2018-03-16 15:16:00","18-904910","ANNOYING TELEPHONE CALL:OBSCENE/THREATENING","32Y","9800 MACARTHUR BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 18:00:00","18-016185","VEHICLE THEFT - AUTO","02X","1000 12TH ST","Oakland","CA"
"ASSAULT","2018-03-31 04:30:00","18-016186","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","23X","1600 35TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 09:00:00","18-016190","VEHICLE THEFT - AUTO","21Y","2800 ATWELL AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-31 03:26:00","18-016192","VEHICLE THEFT - AUTO","15X","200 LESTER AV","Oakland","CA"
"THEFT/LARCENY","2018-03-31 07:11:00","18-016196","THEFT","21Y","3200 SCHOOL ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-31 07:22:00","18-016197","SC STOLEN VEHICLE - AUTO","24X","3500 HARPER ST","Oakland","CA"
"THEFT/LARCENY","2018-03-30 22:00:00","18-016201","SC THEFT","08X","3000 WEBSTER ST","Oakland","CA"
"THEFT/LARCENY","2018-03-30 20:00:00","18-016205","BURGLARY-AUTO","24X","2100 SANTA RITA ST","Oakland","CA"
"THEFT/LARCENY","2018-03-31 01:30:00","18-016239","BURGLARY-AUTO","21Y","2100 FRUITVALE AV","Oakland","CA"
"THEFT/LARCENY","2018-03-31 12:10:00","18-016240","BURGLARY-AUTO","01X","200 CLAY ST","Oakland","CA"
"ASSAULT","2018-03-31 14:21:00","18-016245","BATTERY W/SERIOUS BODILY INJURY","27Y","5900 INTERNATIONAL BLVD","Oakland","CA"
"THEFT/LARCENY","2018-03-31 13:50:00","18-016246","BURGLARY-AUTO","12X","4300 TELEGRAPH AV","Oakland","CA"
"DISTURBING THE PEACE","2018-05-03 08:00:00","18-018984","DISTURB THE PEACE","30Y","2500 RITCHIE ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-16 21:30:00","18-015370","VEHICLE THEFT - AUTO","25X","4800 FAIR AV","Oakland","CA"
"WEAPONS","2018-05-03 17:48:00","18-021960","CARRY CONCEALED WEAPON- UNLAWFUL POSSESS","35X","8400 MACARTHUR BLVD","Oakland","CA"
"DISTURBING THE PEACE","2018-04-01 00:00:00","18-015890","DISTURB THE PEACE","30X","1900 69TH AV","Oakland","CA"
"THEFT/LARCENY","2018-03-30 02:10:00","18-015897","THEFT","30Y","2500 CHURCH ST","Oakland","CA"
"VANDALISM","2018-03-30 00:09:00","18-015994","VANDALISM","33X","9300 F ST","Oakland","CA"
"ROBBERY","2018-03-30 00:10:00","18-015997","ATTEMPTED ROBBERY-FIREARM","09X","40TH ST & BROADWAY","Oakland","CA"
"VANDALISM","2018-03-30 00:19:00","18-016004","VANDALISM:DAMAGE PROPERTY","06X","800 27TH ST","Oakland","CA"
"BURGLARY","2018-03-30 00:40:00","18-016008","BURGLARY-FORCIBLE ENTRY","14X","200 LEE ST","Oakland","CA"
"ASSAULT","2018-03-30 01:03:00","18-016010","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","33X","9400 E ST","Oakland","CA"
"ASSAULT","2018-03-30 01:59:00","18-016014","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","31Z","10900 ROBLEDO DR","Oakland","CA"
"ROBBERY","2018-03-30 03:20:00","18-016021","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","23X","36TH AV & INTERNATIONAL BLVD","Oakland","CA"
"ROBBERY","2018-05-03 23:40:00","18-022048","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","27Y","1600 51ST AV","Oakland","CA"
"ROBBERY","2018-03-30 03:00:00","18-016022","ATTEMPTED ROBBERY-OTHER DANGEROUS WEAPON","08X","2400 TELEGRAPH AV","Oakland","CA"
"DUI","2018-03-30 05:08:00","18-016026","DUI ALCOHOL/DRUGS","32X","1300 98TH AV","Oakland","CA"
"ROBBERY","2018-03-30 06:30:00","18-016029","ROBBERY-FIREARM","09X","W MACARTHUR BLVD & LEIGHTON ST","Oakland","CA"
"ASSAULT","2018-03-30 08:20:00","18-016041","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","23X","300 HIGH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 09:18:00","18-016045","VEHICLE THEFT - AUTO","02Y","600 HENRY ST","Oakland","CA"
"VANDALISM","2018-03-30 09:00:00","18-016046","VANDALISM-$400+","27Y","1600 52ND AV","Oakland","CA"
"ASSAULT","2018-03-30 08:30:00","18-016047","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","18X","1800 E 17TH ST","Oakland","CA"
"THEFT/LARCENY","2018-02-20 12:00:00","18-012443","THEFT","25X","3600 39TH AV","Oakland","CA"
"ASSAULT","2018-03-30 10:00:00","18-016051","BATTERY","27Y","6200 HARMON AV","Oakland","CA"
"VANDALISM","2018-03-30 10:40:00","18-016054","VANDALISM","09X","BROADWAY & W MACARTHUR BLVD","Oakland","CA"
"ASSAULT","2018-03-30 10:53:00","18-016059","THREAT CRIME:INT:TERRORIZE","35Y","3700 DORISA AV","Oakland","CA"
"ASSAULT","2018-03-30 11:00:00","18-016063","BATTERY","14X","400 PERKINS ST","Oakland","CA"
"VANDALISM","2018-03-30 10:51:00","18-016064","VANDALISM:DEFACE PROPERTY","27Y","1400 53RD AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 15:30:00","18-016120","VEHICLE THEFT - AUTO","23X","3600 E 12TH ST","Oakland","CA"
"ROBBERY","2018-03-30 11:46:00","18-016071","ROBBERY/INHABITED DWELLING - STRONGARM (HANDS, FISTS, FEET)","32Y","9800 STEARNS AV","Oakland","CA"
"ASSAULT","2018-03-30 12:00:00","18-016072","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","02X","1000 7TH ST","Oakland","CA"
"BURGLARY","2018-03-30 11:30:00","18-016075","BURGLARY-FORCIBLE ENTRY","35Y","4700 SEQUOYAH RD","Oakland","CA"
"ASSAULT","2018-03-30 12:49:00","18-016076","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","21X","2100 23RD AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 13:07:00","18-016079","VEHICLE THEFT - AUTO","10X","900 AILEEN ST","Oakland","CA"
"ASSAULT","2018-03-30 12:44:00","18-016080","BATTERY","03X","12TH ST & JACKSON ST","Oakland","CA"
"ASSAULT","2018-03-30 09:30:00","18-016082","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","77X","500 CASTRO ST","Oakland","CA"
"ROBBERY","2018-03-30 13:00:00","18-016085","ATTEMPTED ROBBERY-KNIFE","27X","1600 HIGH ST","Oakland","CA"
"ROBBERY","2018-03-30 14:08:00","18-016089","ROBBERY-FIREARM","13Z","1900 MOUNTAIN BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 08:00:00","18-016092","VEHICLE THEFT - AUTO","09X","100 MONTE CRESTA AV","Oakland","CA"
"ASSAULT","2018-03-30 15:24:00","18-016099","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","31Y","8500 SAN LEANDRO ST","Oakland","CA"
"ROBBERY","2018-03-30 15:30:00","18-016103","ROBBERY-FIREARM","23X","4200 INTERNATIONAL BLVD","Oakland","CA"
"ASSAULT","2018-03-30 15:55:00","18-016105","CRUELTY TO ELDER/DEPENDENT ADULT","04X","2200 TELEGRAPH AV","Oakland","CA"
"ASSAULT","2018-03-30 16:00:00","18-016112","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","27Y","6300 E 17TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 03:00:00","18-016121","VEHICLE THEFT - AUTO","17X","1800 13TH AV","Oakland","CA"
"ASSAULT","2018-03-30 17:50:00","18-016123","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","21Y","2600 SCHOOL ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-04 23:09:00","18-018564","VEHICLE THEFT - AUTO","19X","11TH ST&2ND AV","Oakland","CA"
"DUI","2018-03-30 16:45:00","18-016125","DUI ALCOHOL/DRUG","07X","26TH ST & MARKET ST","Oakland","CA"
"THEFT/LARCENY","2018-03-30 17:45:00","18-016127","THEFT","03X","400 8TH ST","Oakland","CA"
"ROBBERY","2018-03-30 18:10:00","18-016128","CARJACKING WITH FIREARM","26Y","900 72ND AVE","Oakland","CA"
"ASSAULT","2018-03-30 13:31:00","18-016129","THREAT CRIME:INT:TERRORIZE","30X","7600 LOCKWOOD ST","Oakland","CA"
"DUI","2018-03-30 19:08:00","18-016130","DUI:ALCOHOL/DRUGS","31Y","400 HEGENBERGER RD","Oakland","CA"
"ROBBERY","2018-03-30 20:56:00","18-016139","ROBBERY-FIREARM","08X","3400 TELEGRAPH AV","Oakland","CA"
"ASSAULT","2018-03-30 21:14:00","18-016142","WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER","26Y","6600 LUCILLE ST","Oakland","CA"
"ASSAULT","2018-03-30 21:35:00","18-016144","BATTERY","10X","1000 AILEEN ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 13:00:00","18-016146","VEHICLE THEFT - AUTO","15X","200 ACTON PL","Oakland","CA"
"ASSAULT","2018-03-30 19:15:00","18-016149","BATTERY","05X","1500 ADELINE ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 19:00:00","18-016150","VEHICLE THEFT - AUTO","19X","1000 E 11TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-30 16:46:00","18-016155","THEFT","26Y","6600 EASTLAWN ST","Oakland","CA"
"ROBBERY","2018-03-31 14:30:00","18-016170","SC CARJACKING - FIREARM","20X","1700 27TH AV","Oakland","CA"
"THEFT/LARCENY","2018-03-30 23:00:00","18-016173","BURGLARY-AUTO","04X","400 21ST ST","Oakland","CA"
"ASSAULT","2018-03-31 01:30:00","18-016174","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","27Y","2600 65TH AV","Oakland","CA"
"ASSAULT","2018-03-31 01:55:00","18-016175","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","32X","9800 WALNUT ST","Oakland","CA"
"VANDALISM","2018-03-30 16:00:00","18-016176","VANDALISM","21X","1600 23RD AV","Oakland","CA"
"ROBBERY","2018-03-31 14:15:00","18-016243","ATTEMPTED ROBBERY-OTHER DANGEROUS WEAPON","33X","8600 G ST","Oakland","CA"
"WEAPONS","2018-03-31 13:40:00","18-016244","CARRY CONCEALED WEAPON IN VEHICLE","33X","9700 INTERNATIONAL BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 23:44:00","18-016157","VEHICLE THEFT - AUTO","32X","1300 100TH AV","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-03-31 12:11:00","18-016234","IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.","10Y","800 45TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-31 21:30:00","18-016306","VEHICLE THEFT - AUTO","04X","500 21ST ST","Oakland","CA"
"THEFT/LARCENY","2018-03-31 10:30:00","18-016290","THEFT","31Y","9500 EDES AV","Oakland","CA"
"ASSAULT","2018-03-31 21:26:00","18-016291","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","26X","44TH AV & INTERNATIONAL BLVD","Oakland","CA"
"WEAPONS","2018-03-31 21:12:00","18-016292","MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON","19X","2500 EMBARCADERO","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-31 22:17:00","18-016295","VEHICLE THEFT - AUTO","35Y","9300 MOUNTAIN BLVD","Oakland","CA"
"ASSAULT","2018-05-01 01:03:00","18-021700","WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER","07X","3100 UNION ST","Oakland","CA"
"THEFT/LARCENY","2018-02-17 21:00:00","18-903643","THEFT","12X","4100 TELEGRAPH AV","Oakland","CA"
"ROBBERY","2018-04-01 22:10:00","18-016296","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","30X","7500 INTERNATIONAL BLVD","Oakland","CA"
"THEFT/LARCENY","2018-03-31 07:00:00","18-016297","BURGLARY-AUTO","03X","8TH ST & FRANKLIN ST","Oakland","CA"
"ASSAULT","2018-03-31 22:50:00","18-016303","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","34X","2000 96TH AV","Oakland","CA"
"ASSAULT","2018-03-31 23:07:00","18-016304","WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER","24X","2200 RANSOM AV","Oakland","CA"
"ASSAULT","2018-04-01 00:11:00","18-016305","ASSAULT WITH FIREARM ON PERSON","04X","100 14TH ST","Oakland","CA"
"VANDALISM","2018-03-06 14:00:00","18-903984","VANDALISM","03X","900 ALICE ST","Oakland","CA"
"THEFT/LARCENY","2018-03-05 20:20:00","18-903858","BURGLARY-AUTO","77X","4800 BIRCH CT","Oakland","CA"
"THEFT/LARCENY","2018-03-05 20:20:00","18-903859","GRAND THEFT:DOG","12X","4000 MANILA AV","Oakland","CA"
"THEFT/LARCENY","2018-03-05 07:53:00","18-903860","GRAND THEFT","08X","400 HAWTHORNE AV","Oakland","CA"
"THEFT/LARCENY","2018-03-07 16:10:00","18-903866","BURGLARY-AUTO","77X","CASTRO ST","Oakland","CA"
"THEFT/LARCENY","2018-03-05 21:20:00","18-903867","BURGLARY-AUTO","29X","6100 BUENA VENTURA AV","Oakland","CA"
"FRAUD","2018-03-06 15:00:00","18-903871","USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.","33X","9600 D ST","Oakland","CA"
"THEFT/LARCENY","2018-03-07 16:53:00","18-903872","GRAND THEFT","13Y","5600 FLORENCE TER","Oakland","CA"
"THEFT/LARCENY","2018-03-07 20:00:00","18-903874","GRAND THEFT","10Y","4000 MARTIN LUTHER KING JR W","Oakland","CA"
"THEFT/LARCENY","2018-03-06 16:55:00","18-903875","BURGLARY-AUTO","01X","500 EMBARCADERO WEST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-31 19:00:00","18-016380","VEHICLE THEFT - AUTO","20X","2800 E 9TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-02 19:00:00","18-903876","BURGLARY-AUTO","77X","7600 SNELL ST","Oakland","CA"
"THEFT/LARCENY","2018-03-08 03:00:00","18-903877","THEFT","13Y","1100 MOUNTAIN BLVD","Oakland","CA"
"THEFT/LARCENY","2018-03-07 12:40:00","18-903878","BURGLARY-AUTO","27X","1600 46TH AV","Oakland","CA"
"ROBBERY","2018-04-01 00:00:00","18-016313","ROBBERY-FIREARM","34X","1600 96TH AV","Oakland","CA"
"THEFT/LARCENY","2018-03-07 20:00:00","18-903881","GRAND THEFT","03X","300 11TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-07 19:00:00","18-903882","THEFT","12Y","6200 CLAREMONT AV","Oakland","CA"
"VANDALISM","2018-03-07 23:00:00","18-903883","VANDALISM","27Y","2400 SEMINARY AV","Oakland","CA"
"THEFT/LARCENY","2018-03-07 19:30:00","18-903884","THEFT","35Y","00 IRONWOOD ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-01 01:16:00","18-021703","VEHICLE THEFT - AUTO","30X","2500 68TH AV","Oakland","CA"
"THEFT/LARCENY","2018-03-07 17:10:00","18-903885","THEFT","08X","27TH ST & TELEGRAPH AV","Oakland","CA"
"VANDALISM","2018-03-08 04:00:00","18-903886","VANDALISM","27X","5000 TRASK ST","Oakland","CA"
"THEFT/LARCENY","2018-03-07 23:45:00","18-903888","BURGLARY-AUTO","08X","2400 WEBSTER ST","Oakland","CA"
"THEFT/LARCENY","2018-03-07 14:45:00","18-903889","BURGLARY-AUTO","29X","5800 FOOTHILL BLVD","Oakland","CA"
"VANDALISM","2018-03-07 07:50:00","18-903890","VANDALISM","08X","3200 WEBSTER ST","Oakland","CA"
"THEFT/LARCENY","2018-03-07 22:30:00","18-903891","THEFT","31Y","8400 EDES AV","Oakland","CA"
"THEFT/LARCENY","2018-03-07 17:20:00","18-903892","GRAND THEFT","08X","2900 SUMMIT ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-31 00:00:00","18-016206","VEHICLE THEFT - AUTO","19X","1400 LAKESHORE AV","Oakland","CA"
"THEFT/LARCENY","2018-03-04 02:00:00","18-903896","BURGLARY-AUTO","14Y","600 CHETWOOD ST","Oakland","CA"
"VANDALISM","2018-02-16 23:00:00","18-903706","VANDALISM","77X","100 CASTRO","Oakland","CA"
"ASSAULT","2018-03-31 09:00:00","18-016208","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","01X","300 4TH ST","Oakland","CA"
"ASSAULT","2018-03-31 10:27:00","18-016213","BATTERY","26X","4300 SAN LEANDRO ST","Oakland","CA"
"THEFT/LARCENY","2018-03-08 19:00:00","18-903905","THEFT","08X","3800 MANILA AV","Oakland","CA"
"THEFT/LARCENY","2018-03-30 23:30:00","18-016214","BURGLARY-AUTO","17X","1900 10TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-08 22:00:00","18-021730","VEHICLE THEFT - AUTO","27Y","5500 HARMON AV","Oakland","CA"
"VANDALISM","2018-03-08 19:10:00","18-903907","VANDALISM","18X","1800 E 19TH ST","Oakland","CA"
"BURGLARY","2018-03-08 21:30:00","18-903909","BURGLARY-FORCIBLE ENTRY","13Z","7000 PASO ROBLES DR","Oakland","CA"
"THEFT/LARCENY","2018-03-08 08:20:00","18-903910","THEFT","03Y","1200 CLAY ST","Oakland","CA"
"THEFT/LARCENY","2018-03-08 19:30:00","18-903911","BURGLARY-AUTO","07X","3500 HOLLIS ST","Oakland","CA"
"THEFT/LARCENY","2018-03-08 20:30:00","18-903912","BURGLARY-AUTO","07X","3700 MANDELA PKWY","Oakland","CA"
"ASSAULT","2018-03-31 10:00:00","18-016220","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","01X","400 WATER ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 20:30:00","18-016225","VEHICLE THEFT - AUTO","07X","3600 MANDELA PKWY","Oakland","CA"
"THEFT/LARCENY","2018-03-08 18:10:00","18-903917","BURGLARY-AUTO","08X","2600 BROADWAY","Oakland","CA"
"THEFT/LARCENY","2018-03-07 18:00:00","18-903918","THEFT","12X","4000 BROADWAY","Oakland","CA"
"ROBBERY","2018-03-31 12:45:00","18-016233","ROBBERY-FIREARM","27X","1400 HIGH ST","Oakland","CA"
"BURGLARY","2018-03-08 14:45:00","18-903923","BURGLARY-FORCIBLE ENTRY","15X","300 WAYNE AV","Oakland","CA"
"THEFT/LARCENY","2018-03-08 21:05:00","18-903924","BURGLARY-AUTO","77X","00 ","Oakland","CA"
"VANDALISM","2018-03-08 10:00:00","18-903925","VANDALISM","08X","2500 NORTHGATE AV","Oakland","CA"
"THEFT/LARCENY","2018-03-07 23:45:00","18-903926","THEFT","02Y","1700 8TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-07 21:00:00","18-903927","BURGLARY-AUTO","31Y","8400 EDES AV","Oakland","CA"
"BURGLARY","2018-03-31 12:13:00","18-016235","BURGLARY-NO FORCE","23X","1600 35TH AV","Oakland","CA"
"HOMICIDE","2018-03-30 21:00:00","18-016236","MURDER:FIRST DEGREE","21X","1700 23RD AV","Oakland","CA"
"ASSAULT","2018-03-31 11:40:00","18-016237","EXHIBIT FIREARM","03Y","6TH ST & CASTRO ST","Oakland","CA"
"THEFT/LARCENY","2018-03-31 14:08:00","18-016247","THEFT","31X","7900 CAPWELL DR","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 19:00:00","18-016250","VEHICLE THEFT - AUTO","17X","1000 E 17TH ST","Oakland","CA"
"ASSAULT","2018-03-31 15:20:00","18-016251","THREAT CRIME:INT:TERRORIZE","25X","4200 MACARTHUR BLVD","Oakland","CA"
"ROBBERY","2018-03-31 15:47:00","18-016252","ATTEMPTED ROBBERY-STRONG-ARM","30Y","7200 BANCROFT AV","Oakland","CA"
"THEFT/LARCENY","2018-03-08 21:45:00","18-903940","BURGLARY-AUTO","15X","1600 2ND AV","Oakland","CA"
"ASSAULT","2018-05-01 01:05:00","18-021699","OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH","23X","4200 INTERNATIONAL BLVD","Oakland","CA"
"ASSAULT","2018-04-01 00:19:00","18-016316","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","03X","14TH ST & BROADWAY","Oakland","CA"
"DISTURBING THE PEACE","2018-03-31 16:18:00","18-016317","DISTURB THE PEACE","24X","4000 SAN JUAN ST","Oakland","CA"
"ROBBERY","2018-04-01 11:00:00","18-016372","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","05X","1400 MARKET ST","Oakland","CA"
"FRAUD","2018-03-08 19:30:00","18-903946","USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.","23X","3900 ALAMEDA AV","Oakland","CA"
"ROBBERY","2018-03-31 16:00:00","18-016255","ROBBERY/INHABITED DWELLING - KNIFE OR CUTTING INSTRUMENT","02X","1000 7TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-31 10:00:00","18-016258","THEFT","03Y","1000 CLAY ST","Oakland","CA"
"ASSAULT","2018-03-31 16:50:00","18-016260","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","27Y","6200 E 16TH ST","Oakland","CA"
"ASSAULT","2018-03-31 17:05:00","18-016262","SHOOT AT INHABITED DWELLING/VEHICLE/ETC","27X","4400 MELROSE AV","Oakland","CA"
"ASSAULT","2018-03-31 17:35:00","18-016265","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","20X","1800 28TH AV","Oakland","CA"
"ROBBERY","2018-03-31 18:00:00","18-016269","ATTEMPTED ROBBERY-STRONG-ARM","07X","3500 PERALTA ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-30 20:00:00","18-016271","VEHICLE THEFT - AUTO","19X","1000 E 15TH ST","Oakland","CA"
"VANDALISM","2018-02-15 13:10:00","18-903377","VANDALISM","05X","1000 16TH ST","Oakland","CA"
"ASSAULT","2018-03-31 18:19:00","18-016273","ASSAULT","14X","400 PERKINS ST","Oakland","CA"
"THEFT/LARCENY","2018-03-30 00:00:00","18-016274","SC GRAND THEFT","33X","8600 G ST","Oakland","CA"
"ASSAULT","2018-03-31 19:01:00","18-016276","BATTERY","27Y","5800 TRASK ST","Oakland","CA"
"THEFT/LARCENY","2018-03-31 18:30:00","18-016277","BURGLARY-AUTO","09X","5100 BROADWAY","Oakland","CA"
"VANDALISM","2018-03-31 20:15:00","18-016280","VANDALISM","19X","1500 13TH AV","Oakland","CA"
"THEFT/LARCENY","2018-03-08 07:15:00","18-903964","THEFT","08X","2300 BROADWAY","Oakland","CA"
"ASSAULT","2018-03-31 20:00:00","18-016281","THREAT CRIME:INT:TERRORIZE","18Y","1900 E 25TH ST","Oakland","CA"
"VANDALISM","2018-03-31 21:07:00","18-016286","VANDALISM","32Y","10700 MACARTHUR BLVD","Oakland","CA"
"ROBBERY","2018-03-31 21:53:00","18-016287","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","23X","1800 39TH AV","Oakland","CA"
"FRAUD","2018-03-06 11:00:00","18-903968","USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.","30X","2300 MAYWOOD AV","Oakland","CA"
"BURGLARY","2018-04-01 21:26:00","18-016462","BURGLARY-NO FORCE","07X","3400 MAGNOLIA ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-01 09:18:00","18-016463","VEHICLE THEFT - AUTO","27X","4600 FAIRFAX AV","Oakland","CA"
"VANDALISM","2018-04-01 20:15:00","18-016465","VANDALISM (AMENDED)","23X","1800 41ST AV","Oakland","CA"
"ASSAULT","2018-04-01 17:34:00","18-016466","THREAT CRIME:INT:TERRORIZE","27Y","2300 SEMINARY AV","Oakland","CA"
