"CrimeType","DateTime","CaseNumber","Description","PoliceBeat","Address","City","State"
"ASSAULT","2018-05-03 11:15:00","18-022133","EXHIBIT FIREARM","19X","1600 MARIN WY","Oakland","CA"
"BURGLARY","2018-03-03 16:45:00","18-011190","BURGLARY-FORCIBLE ENTRY","13Y","100 DUNCAN WY","Oakland","CA"
"ASSAULT","2018-05-03 11:15:00","18-022135","CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE","12X","5000 TELEGRAPH AV","Oakland","CA"
"ASSAULT","2018-05-03 08:45:00","18-022142","EXHIBIT DEADLY WEAPON OTHER THAN FIREARM","03Y","10TH ST & MARTIN LUTHER KING JR WY","Oakland","CA"
"ASSAULT","2018-03-03 12:00:00","18-011191","THREAT CRIME:INT:TERRORIZE","12Y","5100 CLAREMONT AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-03 06:25:00","18-011192","VEHICLE THEFT - AUTO","04X","2000 TELEGRAPH AV","Oakland","CA"
"VANDALISM","2018-02-22 23:44:00","18-009642","VANDALISM-$400+","30Y","2600 73RD AV","Oakland","CA"
"BURGLARY","2018-05-03 08:00:00","18-022228","BURGLARY-FORCIBLE ENTRY","17Y","3200 14TH AV","Oakland","CA"
"BURGLARY","2018-04-02 13:00:00","18-017575","BURGLARY-NO FORCE","17Y","2400 PARK BLVD","Oakland","CA"
"ASSAULT","2018-04-30 07:38:00","18-021744","CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE","07X","900 26TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-03 21:16:00","18-022231","VEHICLE THEFT - AUTO","32X","10400 PONTIAC ST","Oakland","CA"
"ROBBERY","2018-05-03 20:50:00","18-022233","CARJACKING WITH FIREARM","26Y","1100 76TH AV","Oakland","CA"
"THEFT/LARCENY","2018-05-04 20:45:00","18-022427","BURGLARY-AUTO","03X","10TH ST & ALICE ST","Oakland","CA"
"THEFT/LARCENY","2018-04-05 21:00:00","18-017745","THEFT","26Y","900 75TH AV","Oakland","CA"
