CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,LOCATION,CITY,STATE
PROSTITUTION,01/13/2015 06:36:00 PM,15-002438,DISORDERLY CONDUCT:PROSTITUTION,20X,2300 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,01/13/2015 06:50:00 PM,15-002439,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 21ST AV,Oakland,CA
PROSTITUTION,01/13/2015 06:50:00 PM,15-002439,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 21ST AV,Oakland,CA
PROSTITUTION,01/13/2015 07:07:00 PM,15-002447,DISORDERLY CONDUCT:PROSTITUTION,19X,1700 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,01/13/2015 07:28:00 PM,15-002444,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 MITCHELL ST,Oakland,CA
PROSTITUTION,01/13/2015 07:28:00 PM,15-002444,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,1400 MITCHELL ST,Oakland,CA
OTHER,01/15/2015 03:40:00 PM,15-002817,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
OTHER,01/15/2015 04:04:00 PM,15-002818,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
OTHER,01/15/2015 04:25:00 PM,15-002823,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
OTHER,01/15/2015 05:10:00 PM,15-002834,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
OTHER,01/15/2015 05:31:00 PM,15-002838,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
OTHER,01/15/2015 06:25:00 PM,15-002844,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
OTHER,01/15/2015 06:58:00 PM,15-002852,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
OTHER,01/15/2015 07:03:00 PM,15-002854,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
OTHER,01/15/2015 07:29:00 PM,15-002859,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO COVE,Oakland,CA
PROSTITUTION,01/15/2015 07:57:00 PM,15-002873,DISORDERLY CONDUCT:PROSTITUTION,23X,4240 INTERNATIONAL BLVD,Oakland,CA
