CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,LOCATION,CITY,STATE
PROSTITUTION,03/19/2015 07:25:00 PM,15-014844,DISORDERLY CONDUCT:PROSTITUTION,23X,1400 36TH AV,Oakland,CA
PROSTITUTION,03/19/2015 07:40:00 PM,15-014850,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 20TH AV,Oakland,CA
PROSTITUTION,03/19/2015 07:40:00 PM,15-014850,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 20TH AV,Oakland,CA
PROSTITUTION,03/20/2015 12:00:00 AM,15-015034,DISORDERLY CONDUCT:SOLICIT LEWD ACT,03X,8TH ST & FRANKLIN ST,Oakland,CA
PROSTITUTION,03/24/2015 05:13:00 PM,15-015701,DISORDERLY CONDUCT:PROSTITUTION,21X,2500 FOOTHILL BLVD,Oakland,CA
PROSTITUTION,03/24/2015 05:15:00 PM,15-015705,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 18TH AV,Oakland,CA
PROSTITUTION,03/24/2015 05:15:00 PM,15-015705,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 18TH AV,Oakland,CA
PROSTITUTION,03/24/2015 05:30:00 PM,15-015707,DISORDERLY CONDUCT:SOLICIT LEWD ACT,18X,2000 FOOTHILL BLVD,Oakland,CA
PROSTITUTION,03/24/2015 05:30:00 PM,15-015707,DISORDERLY CONDUCT:PROSTITUTION,18X,2000 FOOTHILL BLVD,Oakland,CA
PROSTITUTION,03/24/2015 05:45:00 PM,15-015712,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 20TH AV,Oakland,CA
PROSTITUTION,03/24/2015 05:45:00 PM,15-015712,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 20TH AV,Oakland,CA
PROSTITUTION,03/24/2015 06:55:00 PM,15-015725,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,1400 MILLER AV,Oakland,CA
PROSTITUTION,03/24/2015 06:55:00 PM,15-015725,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 MILLER AV,Oakland,CA
PROSTITUTION,03/24/2015 07:15:00 PM,15-015730,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 21ST AV,Oakland,CA
PROSTITUTION,03/24/2015 07:15:00 PM,15-015730,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 21ST AV,Oakland,CA
PROSTITUTION,03/24/2015 07:35:00 PM,15-015733,DISORDERLY CONDUCT:PROSTITUTION,27X,4800 BANCROFT AV,Oakland,CA
PROSTITUTION,03/24/2015 07:35:00 PM,15-015731,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 13TH AV,Oakland,CA
PROSTITUTION,03/24/2015 07:35:00 PM,15-015731,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 13TH AV,Oakland,CA
PROSTITUTION,03/24/2015 07:35:00 PM,15-015733,DISORDERLY CONDUCT:SOLICIT LEWD ACT,27X,4800 BANCROFT AV,Oakland,CA
PROSTITUTION,03/24/2015 09:55:00 PM,15-015753,DISORDERLY CONDUCT:PROSTITUTION,31X,1 HEGENBERGER RD,Oakland,CA
PROSTITUTION,03/25/2015 05:32:00 PM,15-015907,DISORDERLY CONDUCT:SOLICIT LEWD ACT,07X,2300 WEST ST,Oakland,CA
PROSTITUTION,03/25/2015 05:32:00 PM,15-015907,DISORDERLY CONDUCT:PROSTITUTION,07X,2300 WEST ST,Oakland,CA
OTHER,03/25/2015 05:40:00 PM,15-015912,DISORDERLY CONDUCT:PROSTITUTION,07X,800 BLK OF 27TH ST,Oakland,CA
OTHER,03/25/2015 05:40:00 PM,15-015912,DISORDERLY CONDUCT:SOLICIT LEWD ACT,07X,800 BLK OF 27TH ST,Oakland,CA
PROSTITUTION,03/25/2015 06:29:00 PM,15-015920,DISORDERLY CONDUCT:PROSTITUTION,05X,2200 BRUSH ST,Oakland,CA
PROSTITUTION,03/25/2015 07:04:00 PM,15-015925,DISORDERLY CONDUCT:PROSTITUTION,07X,2901 SAN PABLO AV,Oakland,CA
PROSTITUTION,03/25/2015 07:04:00 PM,15-015925,DISORDERLY CONDUCT:SOLICIT LEWD ACT,07X,2901 SAN PABLO AV,Oakland,CA
PROSTITUTION,03/25/2015 07:57:00 PM,15-015938,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 10TH AV,Oakland,CA
PROSTITUTION,03/25/2015 07:57:00 PM,15-015938,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 10TH AV,Oakland,CA
PROSTITUTION,03/25/2015 08:02:00 PM,15-015939,DISORDERLY CONDUCT:PROSTITUTION,20X,INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/25/2015 08:02:00 PM,15-015939,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/25/2015 08:34:00 PM,15-015949,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 MILLER AV,Oakland,CA
PROSTITUTION,03/25/2015 08:34:00 PM,15-015949,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,1400 MILLER AV,Oakland,CA
PROSTITUTION,03/25/2015 08:53:00 PM,15-015952,DISORDERLY CONDUCT:PROSTITUTION,18X,1700 FOOTHILL BLVD,Oakland,CA
PROSTITUTION,03/25/2015 08:53:00 PM,15-015952,DISORDERLY CONDUCT:SOLICIT LEWD ACT,18X,1700 FOOTHILL BLVD,Oakland,CA
FELONY ASSAULT,03/25/2015 08:55:00 PM,15-015942,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,1400 28TH AV,Oakland,CA
FELONY ASSAULT,03/25/2015 08:55:00 PM,15-015942,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 28TH AV,Oakland,CA
PROSTITUTION,03/31/2015 05:20:00 PM,15-017079,DISORDERLY CONDUCT:PROSTITUTION,26X,12TH ST & 47TH AV,Oakland,CA
PROSTITUTION,03/31/2015 05:20:00 PM,15-017079,DISORDERLY CONDUCT:SOLICIT LEWD ACT,26X,12TH ST & 47TH AV,Oakland,CA
NARCOTICS,04/08/2015 06:20:00 PM,15-018638,DISORDERLY CONDUCT:PROSTITUTION,23X,1200 41ST AV,Oakland,CA
PROSTITUTION,04/10/2015 09:15:00 AM,15-018998,DISORDERLY CONDUCT:PROSTITUTION,34X,1400 AUSEON AV,Oakland,CA
PROSTITUTION,04/10/2015 09:15:00 AM,15-018998,DISORDERLY CONDUCT:SOLICIT LEWD ACT,34X,1400 AUSEON AV,Oakland,CA
PROSTITUTION,04/14/2015 05:00:00 PM,15-019797,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 19TH AV,Oakland,CA
PROSTITUTION,04/14/2015 05:10:00 PM,15-019798,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 24TH AV,Oakland,CA
PROSTITUTION,04/14/2015 06:00:00 PM,15-019808,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 29TH AV,Oakland,CA
PROSTITUTION,04/14/2015 06:00:00 PM,15-019808,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,1400 29TH AV,Oakland,CA
PROSTITUTION,04/14/2015 06:03:00 PM,15-019811,DISORDERLY CONDUCT:PROSTITUTION,19X,1800 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,04/14/2015 06:52:00 PM,15-019823,DISORDERLY CONDUCT:PROSTITUTION,20X,28TH AV & INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,04/14/2015 07:29:00 PM,15-019827,DISORDERLY CONDUCT:PROSTITUTION,23X,37TH AVE AND INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,04/14/2015 08:05:00 PM,15-019834,DISORDERLY CONDUCT:PROSTITUTION,19X,2200 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,04/16/2015 02:00:00 PM,15-020235,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
PROSTITUTION,04/16/2015 02:00:00 PM,15-020238,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
PROSTITUTION,04/16/2015 02:00:00 PM,15-020224,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
NARCOTICS,04/16/2015 06:03:00 PM,15-020253,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
PROSTITUTION,04/16/2015 06:30:00 PM,15-020254,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
PROSTITUTION,04/16/2015 08:10:00 PM,15-020265,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
PROSTITUTION,04/21/2015 05:00:00 PM,15-021164,DISORDERLY CONDUCT:PROSTITUTION,08X,3170 TELEGRAPH AV,Oakland,CA
PROSTITUTION,04/21/2015 07:09:00 PM,15-021183,DISORDERLY CONDUCT:PROSTITUTION,03X,1123 WEBSTER ST,Oakland,CA
OTHER SEX OFFENSES,04/22/2015 05:26:00 PM,15-021349,DISORDERLY CONDUCT:PROSTITUTION,19X,1900 EMBARCADERO,Oakland,CA
OTHER SEX OFFENSES,04/22/2015 05:26:00 PM,15-021349,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1900 EMBARCADERO,Oakland,CA
PROSTITUTION,04/22/2015 06:04:00 PM,15-021362,DISORDERLY CONDUCT:PROSTITUTION,18X,1700 18TH AV,Oakland,CA
DISORDERLY CONDUCT,04/22/2015 06:10:00 PM,15-021363,DISORDERLY CONDUCT:SOLICIT LEWD ACT,18X,1600 18TH AV,Oakland,CA
DISORDERLY CONDUCT,04/22/2015 06:10:00 PM,15-021363,DISORDERLY CONDUCT:PROSTITUTION,18X,1600 18TH AV,Oakland,CA
PROSTITUTION,04/22/2015 06:55:00 PM,15-021373,DISORDERLY CONDUCT:PROSTITUTION,19X,1300 16TH AV,Oakland,CA
PROSTITUTION,04/22/2015 07:12:00 PM,15-021377,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 8TH AV,Oakland,CA
PROSTITUTION,04/22/2015 07:12:00 PM,15-021377,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 8TH AV,Oakland,CA
PROSTITUTION,05/06/2015 04:55:00 PM,15-024003,DISORDERLY CONDUCT:PROSTITUTION,18X,1600 16TH AV,Oakland,CA
PROSTITUTION,05/06/2015 06:18:00 PM,15-024034,DISORDERLY CONDUCT:PROSTITUTION,18X,1600 15TH AV,Oakland,CA
PROSTITUTION,05/07/2015 06:00:00 PM,15-025148,DISORDERLY CONDUCT:PROSTITUTION,22Y,"459 PC(AUTO)-NO ONE IN CUSTODY, SGT. PEREZNEGRON",Oakland,CA
PROSTITUTION,05/08/2015 11:58:00 PM,15-024657,DISORDERLY CONDUCT:PROSTITUTION,19X,900 KENNEDY ST,Oakland,CA
PROSTITUTION,05/12/2015 06:40:00 PM,15-025170,DISORDERLY CONDUCT:PROSTITUTION,25X,4140 MACARTHUR BLVD,Oakland,CA
DISORDERLY CONDUCT,05/13/2015 03:00:00 PM,15-025354,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 1801 EMBARCADERO,Oakland,CA
DISORDERLY CONDUCT,05/13/2015 03:00:00 PM,15-025353,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
VANDALISM,05/13/2015 06:26:00 PM,15-025358,DISORDERLY CONDUCT:PROSTITUTION,19X,1801 EMBARCADERO,Oakland,CA
OTHER,05/16/2015 01:00:00 AM,15-025929,DISORDERLY CONDUCT:PROSTITUTION,02X,1065 8TH ST,Oakland,CA
PROSTITUTION,05/18/2015 04:37:00 PM,15-026324,DISORDERLY CONDUCT:PROSTITUTION,19X,19TH AV & INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,05/18/2015 05:15:00 PM,15-026330,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 10TH AV,Oakland,CA
PROSTITUTION,05/18/2015 05:15:00 PM,15-026330,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 10TH AV,Oakland,CA
PROSTITUTION,05/18/2015 05:40:00 PM,15-026335,DISORDERLY CONDUCT:PROSTITUTION,18X,15TH AV & E 17TH ST,Oakland,CA
PROSTITUTION,05/26/2015 04:15:00 PM,15-027799,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,05/26/2015 04:20:00 PM,15-027794,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,05/26/2015 04:30:00 PM,15-027800,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,05/26/2015 04:35:00 PM,15-027802,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
INCIDENT TYPE,05/26/2015 04:45:00 PM,15-027804,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,05/26/2015 04:50:00 PM,15-027808,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,05/26/2015 05:00:00 PM,15-027811,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,05/26/2015 05:34:00 PM,15-027818,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,05/26/2015 05:48:00 PM,15-027819,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
OTHER,05/26/2015 06:10:00 PM,15-028063,DISORDERLY CONDUCT:PROSTITUTION,31X,302 PENDLETON WAY,Oakland,CA
PROSTITUTION,05/26/2015 06:45:00 PM,15-027847,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,05/26/2015 06:48:00 PM,15-027845,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
NARCOTICS,05/26/2015 06:57:00 PM,15-027846,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,05/26/2015 07:10:00 PM,15-027848,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,05/26/2015 07:35:00 PM,15-027855,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
OTHER,05/27/2015 05:10:00 PM,15-028056,DISORDERLY CONDUCT:PROSTITUTION,31Z,888 98TH AV,Oakland,CA
PROSTITUTION,06/02/2015 05:47:00 PM,15-029225,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 17TH AV,Oakland,CA
PROSTITUTION,06/02/2015 06:03:00 PM,15-029243,DISORDERLY CONDUCT:PROSTITUTION,26X,4919 COLISEUM WAY,Oakland,CA
PROSTITUTION,06/03/2015 11:00:00 AM,15-039974,DISORDERLY CONDUCT:PROSTITUTION,03Y,455 7TH ST,Oakland,CA
PROSTITUTION,06/09/2015 06:53:00 PM,15-030575,DISORDERLY CONDUCT:PROSTITUTION,08X,411 30TH ST,Oakland,CA
PROSTITUTION,06/09/2015 11:15:00 PM,15-030607,DISORDERLY CONDUCT:SOLICIT LEWD ACT,21Y,2300 FRUITVALE AV,Oakland,CA
MISDEMEANOR WARRANT,06/20/2015 11:02:00 AM,15-032673,DISORDERLY CONDUCT:SOLICIT LEWD ACT,32Y,98TH AV & ELMVIEW DR,Oakland,CA
MISDEMEANOR WARRANT,06/20/2015 11:02:00 AM,15-032673,DISORDERLY CONDUCT:PROSTITUTION,32Y,98TH AV & ELMVIEW DR,Oakland,CA
MISDEMEANOR WARRANT,06/24/2015 05:10:00 PM,15-033517,DISORDERLY CONDUCT:PROSTITUTION,19X,1300 19TH AVE.,Oakland,CA
MISDEMEANOR WARRANT,06/24/2015 05:15:00 PM,15-033527,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 BLOCK OF 19TH AVENUE,Oakland,CA
DISORDERLY CONDUCT,06/24/2015 05:17:00 PM,15-033512,DISORDERLY CONDUCT:PROSTITUTION,19X,2000 E 15TH ST,Oakland,CA
PROSTITUTION,06/24/2015 05:26:00 PM,15-033514,DISORDERLY CONDUCT:PROSTITUTION,19X,1900 INTERNATIONAL BLVD,Oakland,CA
MISDEMEANOR WARRANT,06/24/2015 05:58:00 PM,15-033525,DISORDERLY CONDUCT:PROSTITUTION,19X,1200 16TH AVE,Oakland,CA
PROSTITUTION,06/25/2015 02:00:00 PM,15-033714,DISORDERLY CONDUCT:PROSTITUTION,08X,2443 TELEGRAPH AV,Oakland,CA
MISDEMEANOR WARRANT,06/25/2015 05:02:00 PM,15-033729,DISORDERLY CONDUCT:PROSTITUTION,10X,5900 SHATTUCK AVE,Oakland,CA
DRUNKENNESS,07/13/2015 03:45:00 PM,15-037183,DISORDERLY CONDUCT:SOLICIT LEWD ACT,26Y,1300 64TH AV,Oakland,CA
MISDEMEANOR WARRANT,07/14/2015 08:02:00 PM,15-037422,DISORDERLY CONDUCT:PROSTITUTION,19X,1800 INTERNATIONAL BLVD,Oakland,CA
OTHER SEX OFFENSES,07/15/2015 05:00:00 PM,15-037621,DISORDERLY CONDUCT:PROSTITUTION,19X,1300 20TH AV,Oakland,CA
OTHER SEX OFFENSES,07/15/2015 05:00:00 PM,15-037621,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1300 20TH AV,Oakland,CA
OTHER SEX OFFENSES,07/15/2015 06:40:00 PM,15-037644,DISORDERLY CONDUCT:PROSTITUTION,18X,1900 20TH AV,Oakland,CA
OTHER SEX OFFENSES,07/15/2015 06:40:00 PM,15-037644,DISORDERLY CONDUCT:SOLICIT LEWD ACT,18X,1900 20TH AV,Oakland,CA
PROSTITUTION,07/15/2015 06:57:00 PM,15-037643,DISORDERLY CONDUCT:PROSTITUTION,20X,DERBY AV & E 15TH ST,Oakland,CA
PROSTITUTION,07/15/2015 06:57:00 PM,15-037643,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,DERBY AV & E 15TH ST,Oakland,CA
PROSTITUTION,07/16/2015 04:45:00 PM,15-037822,DISORDERLY CONDUCT:PROSTITUTION,19X,2000 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,07/16/2015 05:08:00 PM,15-037824,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1300 22ND AV,Oakland,CA
PROSTITUTION,07/16/2015 05:08:00 PM,15-037824,DISORDERLY CONDUCT:PROSTITUTION,19X,1300 22ND AV,Oakland,CA
PROSTITUTION,07/16/2015 05:31:00 PM,15-037787,DISORDERLY CONDUCT:PROSTITUTION,19X,2000 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,07/16/2015 05:31:00 PM,15-037787,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,2000 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,07/16/2015 06:14:00 PM,15-037838,DISORDERLY CONDUCT:PROSTITUTION,21X,1900 24TH AV,Oakland,CA
PROSTITUTION,07/16/2015 06:14:00 PM,15-037838,DISORDERLY CONDUCT:SOLICIT LEWD ACT,21X,1900 24TH AV,Oakland,CA
PROSTITUTION,07/16/2015 07:00:00 PM,15-037846,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 BLOCK E. 12TH AVENUE,Oakland,CA
PROSTITUTION,07/16/2015 07:00:00 PM,15-037846,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 BLOCK E. 12TH AVENUE,Oakland,CA
PROSTITUTION,07/16/2015 07:18:00 PM,15-037850,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 8TH AV,Oakland,CA
PROSTITUTION,07/16/2015 07:18:00 PM,15-037850,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 8TH AV,Oakland,CA
PROSTITUTION,07/21/2015 03:00:00 PM,15-038871,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,07/21/2015 03:00:00 PM,15-038878,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,07/21/2015 03:00:00 PM,15-038849,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,07/21/2015 03:00:00 PM,15-038899,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,07/21/2015 03:00:00 PM,15-040680,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,07/21/2015 04:14:00 PM,15-038864,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,07/21/2015 04:45:00 PM,15-038870,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,07/21/2015 06:00:00 PM,15-038891,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
MISDEMEANOR WARRANT,07/21/2015 06:03:00 PM,15-038900,DISORDERLY CONDUCT:PROSTITUTION,99X,4000 HARLEN ST,Oakland,CA
NARCOTICS,07/21/2015 07:30:00 PM,15-038924,DISORDERLY CONDUCT:PROSTITUTION,07X,3650 MANDELA PKWY,Oakland,CA
PROSTITUTION,07/22/2015 04:55:00 PM,15-039074,DISORDERLY CONDUCT:PROSTITUTION,19X,1900 E 15TH ST,Oakland,CA
PROSTITUTION,07/22/2015 05:05:00 PM,15-039075,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 17TH AV,Oakland,CA
PROSTITUTION,07/22/2015 05:25:00 PM,15-039079,DISORDERLY CONDUCT:PROSTITUTION,18X,2200 FOOTHILL BLVD,Oakland,CA
PROSTITUTION,07/22/2015 05:40:00 PM,15-039080,DISORDERLY CONDUCT:PROSTITUTION,19X,1900 E 15TH ST,Oakland,CA
PROSTITUTION,07/22/2015 05:40:00 PM,15-039081,DISORDERLY CONDUCT:PROSTITUTION,19X,1900 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,07/22/2015 06:00:00 PM,15-039085,DISORDERLY CONDUCT:PROSTITUTION,20X,E 12TH ST & MILLER AV,Oakland,CA
PROSTITUTION,07/22/2015 06:20:00 PM,15-039087,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 DERBY AV,Oakland,CA
PROSTITUTION,07/22/2015 06:31:00 PM,15-039091,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 31ST AV,Oakland,CA
PROSTITUTION,07/27/2015 01:07:00 AM,15-039891,DISORDERLY CONDUCT:PROSTITUTION,19X,1300 18TH AV,Oakland,CA
DISORDERLY CONDUCT,07/29/2015 03:10:00 PM,15-040404,DISORDERLY CONDUCT:SOLICIT LEWD ACT,23X,1400 35TH AV,Oakland,CA
DISORDERLY CONDUCT,07/29/2015 03:10:00 PM,15-040404,DISORDERLY CONDUCT:PROSTITUTION,23X,1400 35TH AV,Oakland,CA
DISORDERLY CONDUCT,07/29/2015 03:10:00 PM,15-040390,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 20TH AV,Oakland,CA
DISORDERLY CONDUCT,07/29/2015 03:15:00 PM,15-040394,DISORDERLY CONDUCT:PROSTITUTION,20X,2700 INTERNATIONAL BLVD,Oakland,CA
OTHER SEX OFFENSES,07/29/2015 03:25:00 PM,15-040402,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,1400 27TH AV,Oakland,CA
OTHER SEX OFFENSES,07/29/2015 03:25:00 PM,15-040402,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 27TH AV,Oakland,CA
PROSTITUTION,07/29/2015 04:20:00 PM,15-040414,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 25TH AV,Oakland,CA
PROSTITUTION,07/29/2015 04:20:00 PM,15-040411,DISORDERLY CONDUCT:PROSTITUTION,20X,2900 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,07/29/2015 05:55:00 PM,15-040429,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,2100 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,07/29/2015 05:55:00 PM,15-040429,DISORDERLY CONDUCT:PROSTITUTION,19X,2100 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,07/29/2015 07:46:00 PM,15-040446,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 MILLER AV,Oakland,CA
OTHER SEX OFFENSES,08/05/2015 01:56:00 PM,15-041710,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 03:52:00 PM,15-041659,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 04:05:00 PM,15-041665,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 04:06:00 PM,15-041663,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 05:50:00 PM,15-041688,DISORDERLY CONDUCT:PROSTITUTION,31Y,10 HEGENBERGER RD,Oakland,CA
FORCIBLE RAPE,08/05/2015 05:50:00 PM,15-031973,DISORDERLY CONDUCT:PROSTITUTION,31Y,10 HEGENBERGER RD,Oakland,CA
PROSTITUTION,08/05/2015 06:20:00 PM,15-041691,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 06:41:00 PM,15-041698,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 07:20:00 PM,15-041707,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 07:35:00 PM,15-041711,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 07:50:00 PM,15-041713,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 07:57:00 PM,15-041714,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 08:09:00 PM,15-041720,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 08:23:00 PM,15-041721,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 08:53:00 PM,15-041724,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
PROSTITUTION,08/05/2015 09:27:00 PM,15-041725,DISORDERLY CONDUCT:PROSTITUTION,31Y,8480 EDES AV,Oakland,CA
OTHER SEX OFFENSES,08/06/2015 04:00:00 PM,15-043118,DISORDERLY CONDUCT:PROSTITUTION,29X,7100 LACEY AV,Oakland,CA
MISDEMEANOR ASSAULT,08/08/2015 07:45:00 AM,15-042201,DISORDERLY CONDUCT:SOLICIT LEWD ACT,30X,6923 HALLIDAY AV,Oakland,CA
DISORDERLY CONDUCT,08/24/2015 09:00:00 AM,15-045275,DISORDERLY CONDUCT:SOLICIT LEWD ACT,33X,1265 96TH AV,Oakland,CA
PROSTITUTION,08/25/2015 05:09:00 PM,15-045380,DISORDERLY CONDUCT:PROSTITUTION,19X,18TH AV & INTERNATIONAL BLVD,Oakland,CA
