"SEX CRIMES","2018-03-09 05:50:00","18-012257","DISORDERLY CONDUCT:PROSTITUTION","19X","1700 INTERNATIONAL BLVD","Oakland","CA"
"SEX CRIMES","2018-03-09 05:40:00","18-012258","SUPV/ETC PROSTITUTION","21Y","3200 FRUITVALE AV","Oakland","CA"
"SEX CRIMES","2018-03-09 06:25:00","18-012260","DISORDERLY CONDUCT:PROSTITUTION","19X","1700 E 15TH ST","Oakland","CA"
"SEX CRIMES","2018-03-09 07:35:00","18-012269","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 E 15TH ST","Oakland","CA"
"SEX CRIMES","2018-02-28 14:19:00","18-010636","DISORDERLY CONDUCT:PROSTITUTION","19X","1700 INTERNATIONAL BLVD","Oakland","CA"
"SEX CRIMES","2018-03-09 07:45:00","18-012273","DISORDERLY CONDUCT:PROSTITUTION","20X","2400 E 12TH ST","Oakland","CA"
"SEX CRIMES","2018-02-28 14:38:00","18-010644","DISORDERLY CONDUCT:PROSTITUTION","19X","1700 INTERNATIONAL BLVD","Oakland","CA"
"SEX CRIMES","2018-02-28 16:50:00","18-010678","LOITER:INTENT:PROSTITUTION","19X","1700 INTERNATIONAL BLVD","Oakland","CA"
"SEX CRIMES","2018-03-06 19:15:00","18-011792","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO","Oakland","CA"
"SEX CRIMES","2018-03-06 15:52:00","18-011754","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO","Oakland","CA"
"SEX CRIMES","2018-03-06 16:40:00","18-011764","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO COVE","Oakland","CA"
"SEX CRIMES","2018-03-06 16:50:00","18-011768","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO","Oakland","CA"
"SEX CRIMES","2018-03-06 18:30:00","18-011785","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO COVE","Oakland","CA"
"SEX CRIMES","2018-03-06 19:20:00","18-011793","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO COVE","Oakland","CA"
"SEX CRIMES","2018-03-06 20:40:00","18-011803","DISORDERLY CONDUCT:PROSTITUTION","19X","1800 EMBARCADERO","Oakland","CA"
"SEX CRIMES","2018-03-27 16:34:00","18-015530","DISORDERLY CONDUCT:PROSTITUTION","19X","1400 17TH AV","Oakland","CA"
"SEX CRIMES","2018-03-27 16:50:00","18-015533","DISORDERLY CONDUCT:PROSTITUTION","05Y","1700 15TH ST","Oakland","CA"
"SEX CRIMES","2018-03-27 17:15:00","18-015535","DISORDERLY CONDUCT:PROSTITUTION","19X","1400 17TH AV","Oakland","CA"
"SEX CRIMES","2018-03-27 19:14:00","18-015568","DISORDERLY CONDUCT:PROSTITUTION","19X","1400 17TH AV","Oakland","CA"
"SEX CRIMES","2018-03-27 17:26:00","18-015538","DISORDERLY CONDUCT:PROSTITUTION","19X","1400 17TH AV","Oakland","CA"
"SEX CRIMES","2018-03-27 17:35:00","18-015547","LOITER:INTENT:PROSTITUTION","19X","1400 17TH AV","Oakland","CA"
"SEX CRIMES","2018-03-27 17:45:00","18-015548","DISORDERLY CONDUCT:PROSTITUTION","19X","1400 17TH AV","Oakland","CA"
"SEX CRIMES","2018-03-27 18:15:00","18-015556","DISORDERLY CONDUCT:PROSTITUTION","19X","1400 17TH AV","Oakland","CA"
"SEX CRIMES","2018-03-27 18:37:00","18-015559","DISORDERLY CONDUCT:PROSTITUTION","19X","1400 17TH AV","Oakland","CA"
"SEX CRIMES","2018-03-27 15:37:00","18-015517","DISORDERLY CONDUCT:PROSTITUTION","19X","1700 INTERNATIONAL BLVD","Oakland","CA"
"SEX CRIMES","2018-03-27 15:50:00","18-015521","LOITER:INTENT:PROSTITUTION","19X","1400 17TH AV","Oakland","CA"
"SEX CRIMES","2018-03-27 16:15:00","18-015526","DISORDERLY CONDUCT:PROSTITUTION","19X","1400 17TH AV","Oakland","CA"
"SEX CRIMES","2018-03-29 21:55:00","18-015981","LOITER:INTENT:PROSTITUTION","06X","2500 MARTIN LUTHER KING JR W","Oakland","CA"
"SEX CRIMES","2018-04-25 07:50:00","18-020652","LOITER:INTENT:PROSTITUTION","19X","17TH AV & MARIN WY","Oakland","CA"
"SEX CRIMES","2018-05-10 00:07:00","18-023347","LOITER:INTENT:PROSTITUTION","23X","34TH AV & INTERNATIONAL BLVD","Oakland","CA"
